#{"t_start": 1731880216.366284, "env_id": "None"}
r,l,t
-100001.0,100001,90.270834
-10712.0,10713,100.457214
-6908.0,6909,106.337182
-28826.0,28827,131.672441
-100001.0,100001,221.845555
-5694.0,5695,227.072972
-100001.0,100001,314.565547
-49022.0,49023,357.888924
-46336.0,46337,398.815559
-12192.0,12193,409.853545
-87118.0,87119,490.279474
-67598.0,67599,549.754683
-86730.0,86731,626.861064
-81456.0,81457,698.846564
-100001.0,100001,789.033397
-38638.0,38639,824.756836
-71040.0,71041,890.888789
-100001.0,100001,982.741208
-100001.0,100001,1074.65743
-100001.0,100001,1167.677224
-39970.0,39971,1204.181649
-1162.0,1163,1205.758466
-36340.0,36341,1240.281446
-43980.0,43981,1282.93388
-37432.0,37433,1316.846092
-6566.0,6567,1322.707096
-49066.0,49067,1367.126928
-100001.0,100001,1457.23044
-100001.0,100001,1552.169478
-86252.0,86253,1634.133014
-100001.0,100001,1727.679673
-100001.0,100001,1819.17681
-100001.0,100001,1909.603517
-54068.0,54069,1958.454351
-25202.0,25203,1980.959713
-37202.0,37203,2014.146588
-76782.0,76783,2083.763605
-13100.0,13101,2095.434098
-100001.0,100001,2188.988022
-19888.0,19889,2209.045821
-1770.0,1771,2211.139798
-65218.0,65219,2273.963754
-82254.0,82255,2350.510364
-41954.0,41955,2388.537599
-1196.0,1197,2389.949145
-69922.0,69923,2455.194685
-48290.0,48291,2498.715382
-42868.0,42869,2539.198456
-100001.0,100001,2632.503011
-100001.0,100001,2726.307801
-100001.0,100001,2820.123548
-100001.0,100001,2915.79086
-5628.0,5629,2920.360199
-100001.0,100001,3014.290619
-100001.0,100001,3108.20555
-46022.0,46023,3151.660609
-100001.0,100001,3243.345042
-26914.0,26915,3268.979103
-100001.0,100001,3359.351033
-100001.0,100001,3449.296449
-100001.0,100001,3541.366317
-100001.0,100001,3630.729305
-100001.0,100001,3720.922718
-100001.0,100001,3810.836287
-41546.0,41547,3847.842534
-95686.0,95687,3934.085832
-54726.0,54727,3983.022458
-100001.0,100001,4074.008397
-100001.0,100001,4164.293503
-100001.0,100001,4254.855669
-100001.0,100001,4345.300568
-24954.0,24955,4368.620384
-48862.0,48863,4413.99156
-7050.0,7051,4420.025591
-100001.0,100001,4511.33983
-100001.0,100001,4599.133977
-100001.0,100001,4691.729086
-7234.0,7235,4697.86235
-13362.0,13363,4710.566363
-40374.0,40375,4747.21233
-100001.0,100001,4837.576381
-30160.0,30161,4866.417777
-100001.0,100001,4955.043494
-82412.0,82413,5028.327855
-4188.0,4189,5032.077407
-33300.0,33301,5061.798449
-7378.0,7379,5068.73979
-1468.0,1469,5070.290365
-77688.0,77689,5140.061974
-72474.0,72475,5206.365981
-12478.0,12479,5217.687567
-92380.0,92381,5299.435605
-100001.0,100001,5387.215216
-1760.0,1761,5388.819479
-100001.0,100001,5474.228806
-100001.0,100001,5558.681051
-63634.0,63635,5615.162148
-3652.0,3653,5617.72165
-40104.0,40105,5653.447521
-100001.0,100001,5743.301122
-100001.0,100001,5831.191288
-26794.0,26795,5855.423053
-22262.0,22263,5875.432185
-31720.0,31721,5904.652722
-63708.0,63709,5963.347018
-12030.0,12031,5974.494608
-23648.0,23649,5996.790377
-53074.0,53075,6043.775165
-100001.0,100001,6134.792607
-73786.0,73787,6202.920717
-100001.0,100001,6296.323716
-63202.0,63203,6355.560557
-100001.0,100001,6451.257884
-22472.0,22473,6472.568804
-10884.0,10885,6482.351669
-30670.0,30671,6511.413227
-100001.0,100001,6607.438635
-100001.0,100001,6701.977053
-100001.0,100001,6794.985567
-100001.0,100001,6884.127633
-32716.0,32717,6912.40316
-10102.0,10103,6921.210049
-100001.0,100001,7007.739994
-100001.0,100001,7093.266251
-100001.0,100001,7183.774064
-16510.0,16511,7198.263577
-288.0,289,7198.414068
-37588.0,37589,7231.229366
-100001.0,100001,7323.858564
-100001.0,100001,7410.950067
-38378.0,38379,7446.553586
-13632.0,13633,7457.788543
-100001.0,100001,7544.989777
-100001.0,100001,7631.785466
-62554.0,62555,7688.653843
-100001.0,100001,7780.101178
-100001.0,100001,7874.1136
-65674.0,65675,7935.238745
-100001.0,100001,8028.15417
-4652.0,4653,8032.166351
-96782.0,96783,8120.130615
-29990.0,29991,8147.532271
-1998.0,1999,8149.438164
-47838.0,47839,8194.566561
-100001.0,100001,8286.732564
-100001.0,100001,8379.807364
-69306.0,69307,8444.784834
-4602.0,4603,8448.815553
-100001.0,100001,8541.56247
-100001.0,100001,8633.899299
-100001.0,100001,8725.78587
-29594.0,29595,8752.796357
-42450.0,42451,8792.943963
-100001.0,100001,8886.790692
-3928.0,3929,8890.399875
-92056.0,92057,8974.362615
-81722.0,81723,9045.85595
-20210.0,20211,9063.741404
-4118.0,4119,9067.298125
-50026.0,50027,9111.052181
